Prediction,Groundtruth,station,lead_time,year,month,day
0.0,0.0,5.0,1,2023,1,1
0.0251501239836215,0.0,9.0,1,2023,1,1
0.0398713089525699,0.0,11.0,1,2023,1,1
0.0852432399988174,0.0,13.0,1,2023,1,1
0.0302662719041109,0.0999999120831489,25.0,1,2023,1,1
0.0,0.0,29.0,1,2023,1,1
0.0,0.0,30.0,1,2023,1,1
0.0,0.0,32.0,1,2023,1,1
0.0,0.0,37.0,1,2023,1,1
0.0,0.0,38.0,1,2023,1,1
0.0,0.0,39.0,1,2023,1,1
0.0,0.0,44.0,1,2023,1,1
0.0,0.0,5.0,2,2023,1,1
0.0,0.0,9.0,2,2023,1,1
0.0,0.0,11.0,2,2023,1,1
0.0081951031461358,0.0999999120831489,13.0,2,2023,1,1
0.048313807696104,0.3000000715255737,25.0,2,2023,1,1
0.0,0.0,29.0,2,2023,1,1
0.0,0.0,30.0,2,2023,1,1
0.1004063487052917,0.0,32.0,2,2023,1,1
0.0,0.0,37.0,2,2023,1,1
0.0,0.0,38.0,2,2023,1,1
0.0291380397975444,0.0,39.0,2,2023,1,1
0.2236476689577102,0.800000011920929,44.0,2,2023,1,1
0.0,0.0,5.0,3,2023,1,1
0.0,0.0,9.0,3,2023,1,1
0.0,0.0,11.0,3,2023,1,1
0.0,0.0,13.0,3,2023,1,1
0.0,0.5999999046325684,25.0,3,2023,1,1
0.0,0.0,29.0,3,2023,1,1
0.0,0.0,30.0,3,2023,1,1
0.0,0.0,32.0,3,2023,1,1
0.0,0.0,37.0,3,2023,1,1
0.0,0.0,38.0,3,2023,1,1
0.0,0.0,39.0,3,2023,1,1
0.0,0.0,44.0,3,2023,1,1
0.0,0.0,5.0,4,2023,1,1
0.0,0.0,9.0,4,2023,1,1
0.0,0.0,11.0,4,2023,1,1
0.0,0.0,13.0,4,2023,1,1
0.1124195456504821,0.3000000715255737,25.0,4,2023,1,1
0.0,0.0,29.0,4,2023,1,1
0.0,0.0,30.0,4,2023,1,1
0.0,0.0,32.0,4,2023,1,1
0.0,0.0,37.0,4,2023,1,1
0.0,0.0,38.0,4,2023,1,1
0.0,0.0,39.0,4,2023,1,1
0.0,0.0,44.0,4,2023,1,1
0.1415089964866638,0.0,5.0,5,2023,1,1
0.1525601893663406,0.0,9.0,5,2023,1,1
0.0703766345977783,0.0,11.0,5,2023,1,1
0.1694450825452804,0.0,13.0,5,2023,1,1
0.4783675670623779,0.0999999120831489,25.0,5,2023,1,1
0.1580553203821182,0.0,29.0,5,2023,1,1
0.2983023822307586,0.0,30.0,5,2023,1,1
0.4069953560829162,0.0,32.0,5,2023,1,1
0.2422028332948684,0.0,37.0,5,2023,1,1
0.139486163854599,0.0,38.0,5,2023,1,1
0.2808268666267395,0.0,39.0,5,2023,1,1
0.6243122816085815,0.0,44.0,5,2023,1,1
0.0,0.0,5.0,6,2023,1,1
0.0577409006655216,0.0,9.0,6,2023,1,1
0.0788820087909698,0.0,11.0,6,2023,1,1
0.213319644331932,0.0,13.0,6,2023,1,1
0.0843384191393852,0.0,25.0,6,2023,1,1
0.0,0.0,29.0,6,2023,1,1
0.0337805934250354,0.0,30.0,6,2023,1,1
0.1012678295373916,0.0,32.0,6,2023,1,1
0.0158158224076032,0.0,37.0,6,2023,1,1
0.0,0.0,38.0,6,2023,1,1
0.0299882143735885,0.0,39.0,6,2023,1,1
0.5250027179718018,0.0,44.0,6,2023,1,1
0.0641497820615768,0.0,5.0,7,2023,1,1
0.1510664075613021,0.0,9.0,7,2023,1,1
0.0125490697100758,0.0,11.0,7,2023,1,1
0.1849590688943863,0.0,13.0,7,2023,1,1
0.2931678593158722,0.0,25.0,7,2023,1,1
0.0,0.0,29.0,7,2023,1,1
0.0708147510886192,0.0,30.0,7,2023,1,1
0.1100590676069259,0.0,32.0,7,2023,1,1
0.0211820024996995,0.0,37.0,7,2023,1,1
0.0198217164725065,0.0,38.0,7,2023,1,1
0.0063160746358335,0.0,39.0,7,2023,1,1
0.1824400275945663,0.0,44.0,7,2023,1,1
0.0,0.0,5.0,1,2023,1,4
0.0,0.0,9.0,1,2023,1,4
0.0,0.0,11.0,1,2023,1,4
0.0,0.0,13.0,1,2023,1,4
