"Prediction","Groundtruth"
"0","0"
"0.025150123983621597","0"
"0.03987130895256996","0"
"0.08524323999881744","0"
"0.03026627190411091","0.09999991208314896"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0.008195103146135807","0.09999991208314896"
"0.04831380769610405","0.30000007152557373"
"0","0"
"0","0"
"0.10040634870529175","0"
"0","0"
"0","0"
"0.02913803979754448","0"
"0.22364766895771027","0.800000011920929"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0.5999999046325684"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0.11241954565048218","0.30000007152557373"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0.14150899648666382","0"
"0.15256018936634064","0"
"0.07037663459777832","0"
"0.16944508254528046","0"
"0.47836756706237793","0.09999991208314896"
"0.15805532038211823","0"
"0.29830238223075867","0"
"0.40699535608291626","0"
"0.24220283329486847","0"
"0.139486163854599","0"
"0.2808268666267395","0"
"0.6243122816085815","0"
"0","0"
"0.05774090066552162","0"
"0.07888200879096985","0"
"0.21331964433193207","0"
"0.08433841913938522","0"
"0","0"
"0.03378059342503548","0"
"0.10126782953739166","0"
"0.015815822407603264","0"
"0","0"
"0.029988214373588562","0"
"0.5250027179718018","0"
"0.06414978206157684","0"
"0.15106640756130219","0"
"0.012549069710075855","0"
"0.1849590688943863","0"
"0.2931678593158722","0"
"0","0"
"0.07081475108861923","0"
"0.11005906760692596","0"
"0.021182002499699593","0"
"0.019821716472506523","0"
"0.006316074635833502","0"
"0.18244002759456635","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0.01747599057853222","0.30000007152557373"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0.06665155291557312","0"
"0.07576807588338852","0"
"0","0"
"0.07702308148145676","0"
"0.2002294510602951","0.09999991208314896"
"0","0"
"0.18113210797309875","0"
"0.470722496509552","0"
"0.23811474442481995","0"
"0.0533178336918354","0"
"0.36863964796066284","0"
"0.8534255027770996","0"
"0.02771925926208496","0"
"0.08080001920461655","0"
"0.04629701003432274","0"
"0.14141173660755157","0"
"0.21884113550186157","0"
"0","0"
"0.12885867059230804","0"
"0.10457805544137955","0"
"0.08813194185495377","0"
"0.03899088129401207","0"
"0.057336729019880295","0"
"0.29704850912094116","0"
"0","0"
"0","0"
"0","0"
"0.015689875930547714","0"
"0.15484033524990082","0"
"0","0"
"0.021198157221078873","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0.08845531195402145","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0.17835882306098938","0"
"0","0"
"0.05059874802827835","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0.11230811476707458","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0.18067173659801483","0"
"0","0"
"0.08490070700645447","0"
"0.008872671984136105","0"
