Prediction,Groundtruth,station,lead_time,year,month,day
"[139.0556 139.0556 139.0556 139.0556 139.0556 139.0556 139.0556 139.0556
 139.0556 139.0556 139.0556 139.0556]",[  9.6   103.417  22.583],355.0,41,2018,6,2
"[133.74776 133.74776 133.74776 133.74776 133.74776 133.74776 133.74776
 133.74776 133.74776 133.74776 133.74776 133.74776]",[  9.6   103.417  22.583],355.0,42,2018,6,2
"[125.635765 125.635765 125.635765 125.635765 125.635765 125.635765
 125.635765 125.635765 125.635765 125.635765 125.635765 125.635765]",[ 10.5   103.417  22.583],355.0,43,2018,6,2
"[116.8728 116.8728 116.8728 116.8728 116.8728 116.8728 116.8728 116.8728
 116.8728 116.8728 116.8728 116.8728]",[  8.9   103.417  22.583],355.0,44,2018,6,2
"[91.20986 91.20986 91.20986 91.20986 91.20986 91.20986 91.20986 91.20986
 91.20986 91.20986 91.20986 91.20986]",[  8.9   103.417  22.583],355.0,45,2018,6,2
"[61.515953 61.515953 61.515953 61.515953 61.515953 61.515953 61.515953
 61.515953 61.515953 61.515953 61.515953 61.515953]",[ 13.4   103.417  22.583],355.0,46,2018,6,2
"[26.639383 26.639383 26.639383 26.639383 26.639383 26.639383 26.639383
 26.639383 26.639383 26.639383 26.639383 26.639383]",[ 36.9   103.417  22.583],355.0,7,2019,6,2
"[31.196123 31.196123 31.196123 31.196123 31.196123 31.196123 31.196123
 31.196123 31.196123 31.196123 31.196123 31.196123]",[ 17.4   103.417  22.583],355.0,8,2019,6,2
"[31.346348 31.346348 31.346348 31.346348 31.346348 31.346348 31.346348
 31.346348 31.346348 31.346348 31.346348 31.346348]",[ 17.4   103.417  22.583],355.0,9,2019,6,2
"[41.711674 41.711674 41.711674 41.711674 41.711674 41.711674 41.711674
 41.711674 41.711674 41.711674 41.711674 41.711674]",[  0.    103.417  22.583],355.0,10,2019,6,2
"[65.72217 65.72217 65.72217 65.72217 65.72217 65.72217 65.72217 65.72217
 65.72217 65.72217 65.72217 65.72217]",[  0.    103.417  22.583],355.0,11,2019,6,2
"[88.70616 88.70616 88.70616 88.70616 88.70616 88.70616 88.70616 88.70616
 88.70616 88.70616 88.70616 88.70616]",[  0.    103.417  22.583],355.0,12,2019,6,2
"[103.452965 103.452965 103.452965 103.452965 103.452965 103.452965
 103.452965 103.452965 103.452965 103.452965 103.452965 103.452965]",[  0.    103.417  22.583],355.0,13,2019,6,2
"[126.93769 126.93769 126.93769 126.93769 126.93769 126.93769 126.93769
 126.93769 126.93769 126.93769 126.93769 126.93769]",[  0.    103.417  22.583],355.0,14,2019,6,2
"[120.9288 120.9288 120.9288 120.9288 120.9288 120.9288 120.9288 120.9288
 120.9288 120.9288 120.9288 120.9288]",[  0.    103.417  22.583],355.0,15,2019,6,2
"[120.35295 120.35295 120.35295 120.35295 120.35295 120.35295 120.35295
 120.35295 120.35295 120.35295 120.35295 120.35295]",[ 33.4   103.417  22.583],355.0,16,2019,6,2
"[104.67977 104.67977 104.67977 104.67977 104.67977 104.67977 104.67977
 104.67977 104.67977 104.67977 104.67977 104.67977]",[ 33.8   103.417  22.583],355.0,17,2019,6,2
"[78.19061 78.19061 78.19061 78.19061 78.19061 78.19061 78.19061 78.19061
 78.19061 78.19061 78.19061 78.19061]",[ 33.8   103.417  22.583],355.0,18,2019,6,2
"[54.380405 54.380405 54.380405 54.380405 54.380405 54.380405 54.380405
 54.380405 54.380405 54.380405 54.380405 54.380405]",[ 33.8   103.417  22.583],355.0,19,2019,6,2
"[43.739674 43.739674 43.739674 43.739674 43.739674 43.739674 43.739674
 43.739674 43.739674 43.739674 43.739674 43.739674]",[ 33.8   103.417  22.583],355.0,20,2019,6,2
"[22.057615 22.057615 22.057615 22.057615 22.057615 22.057615 22.057615
 22.057615 22.057615 22.057615 22.057615 22.057615]",[ 33.8   103.417  22.583],355.0,21,2019,6,2
"[20.204876 20.204876 20.204876 20.204876 20.204876 20.204876 20.204876
 20.204876 20.204876 20.204876 20.204876 20.204876]",[ 33.8   103.417  22.583],355.0,22,2019,6,2
"[14.621618 14.621618 14.621618 14.621618 14.621618 14.621618 14.621618
 14.621618 14.621618 14.621618 14.621618 14.621618]",[ 20.5   103.417  22.583],355.0,23,2019,6,2
"[19.228428 19.228428 19.228428 19.228428 19.228428 19.228428 19.228428
 19.228428 19.228428 19.228428 19.228428 19.228428]",[ 20.1   103.417  22.583],355.0,24,2019,6,2
"[19.578949 19.578949 19.578949 19.578949 19.578949 19.578949 19.578949
 19.578949 19.578949 19.578949 19.578949 19.578949]",[ 20.6   103.417  22.583],355.0,25,2019,6,2
"[19.603987 19.603987 19.603987 19.603987 19.603987 19.603987 19.603987
 19.603987 19.603987 19.603987 19.603987 19.603987]",[ 20.6   103.417  22.583],355.0,26,2019,6,2
"[14.471396 14.471396 14.471396 14.471396 14.471396 14.471396 14.471396
 14.471396 14.471396 14.471396 14.471396 14.471396]",[ 20.6   103.417  22.583],355.0,27,2019,6,2
"[17.976578 17.976578 17.976578 17.976578 17.976578 17.976578 17.976578
 17.976578 17.976578 17.976578 17.976578 17.976578]",[ 20.6   103.417  22.583],355.0,28,2019,6,2
"[25.437609 25.437609 25.437609 25.437609 25.437609 25.437609 25.437609
 25.437609 25.437609 25.437609 25.437609 25.437609]",[ 76.5   103.417  22.583],355.0,29,2019,6,2
"[27.390495 27.390495 27.390495 27.390495 27.390495 27.390495 27.390495
 27.390495 27.390495 27.390495 27.390495 27.390495]",[ 56.4   103.417  22.583],355.0,30,2019,6,2
"[27.11509 27.11509 27.11509 27.11509 27.11509 27.11509 27.11509 27.11509
 27.11509 27.11509 27.11509 27.11509]",[ 56.4   103.417  22.583],355.0,31,2019,6,2
"[30.79553 30.79553 30.79553 30.79553 30.79553 30.79553 30.79553 30.79553
 30.79553 30.79553 30.79553 30.79553]",[ 65.9   103.417  22.583],355.0,32,2019,6,2
"[47.59537 47.59537 47.59537 47.59537 47.59537 47.59537 47.59537 47.59537
 47.59537 47.59537 47.59537 47.59537]",[ 69.8   103.417  22.583],355.0,33,2019,6,2
"[64.119804 64.119804 64.119804 64.119804 64.119804 64.119804 64.119804
 64.119804 64.119804 64.119804 64.119804 64.119804]",[ 73.1   103.417  22.583],355.0,34,2019,6,2
"[75.762024 75.762024 75.762024 75.762024 75.762024 75.762024 75.762024
 75.762024 75.762024 75.762024 75.762024 75.762024]",[ 73.1   103.417  22.583],355.0,35,2019,6,2
"[82.12142 82.12142 82.12142 82.12142 82.12142 82.12142 82.12142 82.12142
 82.12142 82.12142 82.12142 82.12142]",[ 17.2   103.417  22.583],355.0,36,2019,6,2
"[90.95949 90.95949 90.95949 90.95949 90.95949 90.95949 90.95949 90.95949
 90.95949 90.95949 90.95949 90.95949]",[ 17.2   103.417  22.583],355.0,37,2019,6,2
"[101.049416 101.049416 101.049416 101.049416 101.049416 101.049416
 101.049416 101.049416 101.049416 101.049416 101.049416 101.049416]",[ 29.1   103.417  22.583],355.0,38,2019,6,2
"[101.925705 101.925705 101.925705 101.925705 101.925705 101.925705
 101.925705 101.925705 101.925705 101.925705 101.925705 101.925705]",[ 22.3   103.417  22.583],355.0,39,2019,6,2
"[86.377716 86.377716 86.377716 86.377716 86.377716 86.377716 86.377716
 86.377716 86.377716 86.377716 86.377716 86.377716]",[ 18.4   103.417  22.583],355.0,40,2019,6,2
"[70.25388 70.25388 70.25388 70.25388 70.25388 70.25388 70.25388 70.25388
 70.25388 70.25388 70.25388 70.25388]",[ 15.1   103.417  22.583],355.0,41,2019,6,2
"[80.71935 80.71935 80.71935 80.71935 80.71935 80.71935 80.71935 80.71935
 80.71935 80.71935 80.71935 80.71935]",[ 20.9   103.417  22.583],355.0,42,2019,6,2
"[88.85638 88.85638 88.85638 88.85638 88.85638 88.85638 88.85638 88.85638
 88.85638 88.85638 88.85638 88.85638]",[ 22.1   103.417  22.583],355.0,43,2019,6,2
"[85.55149 85.55149 85.55149 85.55149 85.55149 85.55149 85.55149 85.55149
 85.55149 85.55149 85.55149 85.55149]",[ 74.6   103.417  22.583],355.0,44,2019,6,2
"[81.94616 81.94616 81.94616 81.94616 81.94616 81.94616 81.94616 81.94616
 81.94616 81.94616 81.94616 81.94616]",[ 65.8   103.417  22.583],355.0,45,2019,6,2
"[81.06987 81.06987 81.06987 81.06987 81.06987 81.06987 81.06987 81.06987
 81.06987 81.06987 81.06987 81.06987]",[ 62.6   103.417  22.583],355.0,46,2019,6,2
"[8.11199 8.11199 8.11199 8.11199 8.11199 8.11199 8.11199 8.11199 8.11199
 8.11199 8.11199 8.11199]",[ 35.1   103.417  22.583],355.0,7,2020,6,2
"[7.4610257 7.4610257 7.4610257 7.4610257 7.4610257 7.4610257 7.4610257
 7.4610257 7.4610257 7.4610257 7.4610257 7.4610257]",[ 36.3   103.417  22.583],355.0,8,2020,6,2
"[6.609768 6.609768 6.609768 6.609768 6.609768 6.609768 6.609768 6.609768
 6.609768 6.609768 6.609768 6.609768]",[ 52.    103.417  22.583],355.0,9,2020,6,2
"[6.6598415 6.6598415 6.6598415 6.6598415 6.6598415 6.6598415 6.6598415
 6.6598415 6.6598415 6.6598415 6.6598415 6.6598415]",[ 16.9   103.417  22.583],355.0,10,2020,6,2
