lead_time,Our model|MAE,Our model|R2,Our model|RMSE,Our model|COR,S2S|MAE,S2S|R2,S2S|RMSE,S2S|COR,CNN-LSTM|MAE,CNN-LSTM|R2,CNN-LSTM|RMSE,CNN-LSTM|COR,U-Net|MAE,U-Net|R2,U-Net|RMSE,U-Net|COR,S2S-only Transformer|MAE,S2S-only Transformer|R2,S2S-only Transformer|RMSE,S2S-only Transformer|COR,Quantile Mapping|MAE,Quantile Mapping|R2,Quantile Mapping|RMSE,Quantile Mapping|COR
24,21.89760713,0.38738709,33.61231206,0.62615070,24.47322588,0.21615844,38.02094785,0.54019746,22.13123480,0.34786714,34.67752604,0.59418748,23.04080348,0.26952320,36.69805006,0.54631351,21.97918663,0.38439566,33.69437130,0.62167283,26.03408188,0.04413197,41.98631543,0.55067073
25,21.89121020,0.37853068,34.01074029,0.61922139,24.86815980,0.19832354,38.62864781,0.52317926,22.09901914,0.34426713,34.93390860,0.59106311,23.21237851,0.27235164,36.79095789,0.54815882,22.26569884,0.36935656,34.26081852,0.60909309,26.33929757,0.02959966,42.49965567,0.53168792
26,22.11441189,0.37009131,34.52568334,0.61282127,25.03018800,0.18138984,39.35926438,0.51054652,22.42425122,0.33736290,35.40962752,0.58503237,23.24183112,0.27237176,37.10173857,0.54496830,22.43657565,0.36299381,34.72002319,0.60402818,26.42213226,0.01846777,43.09835455,0.51992591
27,21.90237389,0.37461649,34.30974218,0.61656073,24.44484572,0.20722986,38.62983708,0.52014265,22.33138190,0.33927907,35.26377387,0.58606483,23.10409150,0.26763922,37.12030142,0.54163994,22.19365503,0.36481479,34.57786517,0.60554950,25.57462727,0.06069879,42.04861310,0.52684768
28,21.88083630,0.37365834,34.24102347,0.61593541,24.67730054,0.20042428,38.68808338,0.50848414,22.48695444,0.33177512,35.36479186,0.58015403,23.31669781,0.25758542,37.26815344,0.53273162,22.17628772,0.36230883,34.55003412,0.60332638,25.68891302,0.06848529,41.75824873,0.51468136
29,22.28590034,0.36475144,34.83887931,0.60906748,25.58104367,0.17450930,39.71490071,0.48772762,22.92974837,0.31376496,36.20842789,0.56580183,23.63974053,0.25574597,37.70164179,0.52819403,22.59465873,0.35139109,35.20348583,0.59419678,26.72641567,0.04235148,42.77602848,0.49313700
30,22.28019138,0.35644291,34.88183906,0.60210158,25.64606311,0.15100780,40.06459318,0.48024615,23.20813583,0.29001727,36.63377639,0.54764851,23.97181848,0.22737116,38.21174249,0.50910520,22.63468460,0.34400274,35.21703145,0.58878136,27.03877144,-0.01018302,43.70276545,0.48281021
31,21.99867421,0.36862261,34.21380902,0.61260521,26.09919312,0.07954963,41.31070565,0.45031403,22.99322226,0.29709516,36.09728965,0.55388691,23.77666607,0.22618426,37.87388742,0.51285076,22.40123042,0.34711772,34.79098149,0.59217089,27.87743977,-0.13403451,45.85382404,0.45163502
32,21.98965540,0.36370232,34.41457917,0.60811846,27.21737511,-0.00252255,43.19786166,0.41557755,23.01936914,0.29137304,36.31576848,0.54912067,23.55123530,0.23529484,37.72640658,0.51759200,22.34288268,0.34480801,34.92145500,0.59026050,29.40171966,-0.26514408,48.52719276,0.41796402
33,22.02866577,0.36360506,34.63374986,0.60832555,27.76736623,-0.02524565,43.95951677,0.40005213,23.03158378,0.29295204,36.50451629,0.54998744,23.32669824,0.24194288,37.79780372,0.52274411,22.46350921,0.34561013,35.11962143,0.59068751,29.94602370,-0.30498674,49.59546769,0.40189796
34,21.85381555,0.37020390,34.46955027,0.61475299,27.39843123,-0.00002460,43.43557617,0.42580962,23.13204816,0.28730229,36.66492017,0.54597092,23.47738627,0.23501061,37.98747528,0.51778455,22.37962715,0.34899145,35.04535537,0.59368451,29.61364865,-0.27880919,49.11827646,0.42836935
35,21.69362529,0.36996779,34.27016737,0.61526354,27.09952446,-0.02111678,43.62914888,0.42829147,23.03600798,0.29118972,36.34504806,0.55025308,23.52555571,0.24116197,37.60487394,0.52459904,22.25725425,0.35146306,34.76999336,0.59619823,29.27949146,-0.32423793,49.68462827,0.43103459
36,22.11532333,0.36303990,34.79610506,0.60841023,26.82793296,-0.01468972,43.91822254,0.42910525,23.26200140,0.29175655,36.68755046,0.54978418,23.62567995,0.24151023,37.96832692,0.52189816,22.70116362,0.34082451,35.39784188,0.58657044,29.07808682,-0.31911486,50.07482384,0.43139081
37,21.82092863,0.37040781,34.32197359,0.61456890,25.39387802,0.04498832,42.27156170,0.46610004,22.65480663,0.30651920,36.01671332,0.56278016,23.41670201,0.24901923,37.48380465,0.52735265,22.53795269,0.34370621,35.04144252,0.58883234,27.41289524,-0.21731209,47.72488827,0.47126418
38,21.76785869,0.37633281,33.92835483,0.62023073,24.97121299,0.06067651,41.63857479,0.48405511,22.46441910,0.31686359,35.50656879,0.57092106,23.50856614,0.23668782,37.53081745,0.51889025,22.56975013,0.34345795,34.81047319,0.58884714,27.00180216,-0.16946146,46.46021568,0.49507923
39,21.71968489,0.37668853,34.00391393,0.61982631,24.92618536,0.08641331,41.16738537,0.48527670,22.59192873,0.31110132,35.74311946,0.56541299,23.53133002,0.23153232,37.75453299,0.51671321,22.40644394,0.35510539,34.58746651,0.59820950,26.64350185,-0.10482564,45.27154063,0.49528922
40,21.94400694,0.36786063,34.50355211,0.61218247,25.39445935,0.11608596,40.80041760,0.49654901,22.82579287,0.29870986,36.33761999,0.55506077,23.28142693,0.24433441,37.72357541,0.52625010,22.60174547,0.34692421,35.06978629,0.59131267,27.12303521,-0.07296854,44.95242091,0.50450252
41,22.13676812,0.35884241,34.72788553,0.60494724,24.97404284,0.14591745,40.08193203,0.50937552,22.72596330,0.30538287,36.14380682,0.56072919,23.04376950,0.26137411,37.26792502,0.54003392,22.54000496,0.34753458,35.03289983,0.59211177,26.78048755,-0.04133247,44.25816755,0.51644638
42,21.94041987,0.36529671,34.42009226,0.61066924,25.13532773,0.14607564,39.92452076,0.50974971,22.64019294,0.30499978,36.01582058,0.56043638,22.96000977,0.26752219,36.97272980,0.54719464,22.27702112,0.36181644,34.51413140,0.60393055,27.16625201,-0.07321079,44.75819117,0.51061517
43,22.46031688,0.35624951,34.99889226,0.60172658,25.45812717,0.14432883,40.35085137,0.51550939,23.08106981,0.29837289,36.53625848,0.55393233,23.47765128,0.25290446,37.69603445,0.53840300,22.73076677,0.34714421,35.24550655,0.59087456,27.54942803,-0.09800359,45.70893815,0.51534116
44,22.40966828,0.35132690,34.88763599,0.59622943,24.70337685,0.21387402,38.40693256,0.55299839,22.82902834,0.30759273,36.04142579,0.56094973,23.53715611,0.23999001,37.75524645,0.52862328,22.64744874,0.33991053,35.19354408,0.58462090,26.66434499,-0.00186373,43.35786375,0.55932307
45,22.21971381,0.35146484,34.60994513,0.59639627,24.59103649,0.21494304,38.07934301,0.54718853,22.78060398,0.30677259,35.77948537,0.56237229,23.52324696,0.23182974,37.65845763,0.52588891,22.49883418,0.34023960,34.90734154,0.58499769,26.49001614,0.01545912,42.64378443,0.55508119
46,22.34388884,0.34470688,34.91647439,0.59009879,25.18811646,0.18036756,39.05064562,0.52776954,22.89100345,0.30750237,35.89126207,0.56352709,23.83111703,0.22208265,38.03372117,0.51854818,22.68067344,0.33579315,35.15303961,0.58125115,27.30747542,-0.04511355,44.09612083,0.53481510
