index,sample_id,groundtruth,S2S,CNN-LSTM,U-Net,S2S-only Transformer,Ours,Quantile Mapping
0,2022-01-01_lead_07,0.0,4.8130879402160645,11.559074401855469,24.668230056762695,3.735374689102173,5.521538257598877,0.8992658257484436
1,2023-01-01_lead_07,0.0,0.5166991949081421,6.673661231994629,5.711525917053223,2.9721457958221436,2.3441500663757324,0.0
2,2022-01-04_lead_07,0.0,3.896841049194336,10.553474426269531,8.814886093139648,1.4128670692443848,3.3954811096191406,0.2871522903442383
3,2023-01-04_lead_07,0.0,0.4279289245605469,7.113116264343262,7.59719181060791,5.343286514282227,1.3516154289245605,0.0
4,2022-01-08_lead_07,1.3000000715255737,8.82744026184082,14.50050163269043,7.809053897857666,10.391891479492188,6.504935264587402,5.160656929016113
5,2023-01-08_lead_07,0.0,0.8967669010162354,7.041184425354004,26.5072021484375,1.5393812656402588,1.317967176437378,0.0
6,2022-01-11_lead_07,25.400001525878906,25.42702293395996,26.02847671508789,22.544307708740234,18.88385772705078,34.56304168701172,26.87937355041504
7,2023-01-11_lead_07,0.0,3.703606128692627,7.902345657348633,7.370789527893066,7.55053186416626,1.6484795808792114,0.233732208609581
8,2022-01-15_lead_07,40.600006103515625,69.02011108398438,11.01982307434082,3.856717586517334,39.604740142822266,55.25925827026367,82.96283721923828
9,2023-01-15_lead_07,0.5,1.1403987407684326,1.6386511325836182,1.4559446573257446,0.12015362083911896,1.0393027067184448,0.0
10,2022-01-18_lead_07,19.999996185302734,26.473533630371094,7.527166366577148,3.2700767517089844,31.91849136352539,32.0798225402832,28.031158447265625
11,2023-01-18_lead_07,0.5999999046325684,1.8685595989227295,3.9457335472106934,1.8150289058685303,0.11420615017414093,1.0493155717849731,0.0
12,2022-01-22_lead_07,4.0,3.5489931106567383,6.637878894805908,2.085768699645996,2.2058069705963135,2.898881673812866,0.1901904046535492
13,2023-01-22_lead_07,0.09999991208314896,1.0829200744628906,4.445769786834717,3.449516534805298,0.05613088980317116,0.9226518869400024,0.0
14,2022-01-25_lead_07,0.5,8.019521713256836,9.129013061523438,4.81950569152832,8.241877555847168,8.529062271118164,4.284694671630859
15,2023-01-25_lead_07,0.0,0.7424934506416321,4.087055206298828,1.252457857131958,0.9760464429855347,2.3932361602783203,0.0
16,2022-01-29_lead_07,0.0,15.842193603515625,7.732617378234863,2.50409197807312,18.449281692504883,15.317809104919434,14.794283866882324
17,2023-01-29_lead_07,1.1000001430511475,1.1356114149093628,7.262312889099121,2.6113409996032715,0.529465913772583,1.9333033561706543,0.0
18,2022-02-01_lead_07,32.000003814697266,35.79088592529297,6.342298984527588,4.1338372230529785,21.41299819946289,14.199647903442383,38.99113464355469
19,2023-02-01_lead_07,30.09999656677246,19.09969711303711,9.42581844329834,5.299856185913086,13.263575553894043,5.313528060913086,18.208955764770508
20,2022-02-05_lead_07,32.000003814697266,35.73128890991211,6.468920707702637,27.193246841430664,24.480770111083984,17.21514129638672,38.917057037353516
21,2023-02-05_lead_07,28.9999942779541,4.173816680908203,3.250068187713623,6.286784648895264,0.2039552927017212,0.7054323554039001,0.427950382232666
22,2022-02-08_lead_07,0.0,4.95331335067749,5.399773120880127,9.314217567443848,2.742555618286133,1.1528282165527344,0.9985914826393127
23,2023-02-08_lead_07,0.0,0.5392650365829468,2.30949068069458,1.5343143939971924,0.15426182746887207,0.21968455612659454,0.0
