"Step","BATCH_32_Add_type_0data3-r1-test-vit-tiny-all-weekly_Strans-V5_PS-3_Lr-5e-05_LF-weightedmse-wfn_abs_DR-0.25_LN-True-ST_0_3-ON_True_Seed-52_LRS-TrueGSMAP_time_step7ECMWF_time_step7_ReduceLROnPlateau-min-0.5-3VIT_Blocks_2 - loss/train_loss","BATCH_32_Add_type_0data3-r1-test-vit-tiny-all-weekly_Strans-V5_PS-3_Lr-5e-05_LF-weightedmse-wfn_abs_DR-0.25_LN-True-ST_0_3-ON_True_Seed-52_LRS-TrueGSMAP_time_step7ECMWF_time_step7_ReduceLROnPlateau-min-0.5-3VIT_Blocks_2 - loss/train_loss__MIN","BATCH_32_Add_type_0data3-r1-test-vit-tiny-all-weekly_Strans-V5_PS-3_Lr-5e-05_LF-weightedmse-wfn_abs_DR-0.25_LN-True-ST_0_3-ON_True_Seed-52_LRS-TrueGSMAP_time_step7ECMWF_time_step7_ReduceLROnPlateau-min-0.5-3VIT_Blocks_2 - loss/train_loss__MAX"
"0","0.17446710732283777","0.17446710732283777","0.17446710732283777"
"1","0.16315791437659286","0.16315791437659286","0.16315791437659286"
"2","0.16048117676942514","0.16048117676942514","0.16048117676942514"
"3","0.15863685227352484","0.15863685227352484","0.15863685227352484"
"4","0.15743017193122671","0.15743017193122671","0.15743017193122671"
"5","0.15655219557791433","0.15655219557791433","0.15655219557791433"
"6","0.15567079679719334","0.15567079679719334","0.15567079679719334"
"7","0.15490775653000535","0.15490775653000535","0.15490775653000535"
"8","0.1535053362909319","0.1535053362909319","0.1535053362909319"
"9","0.1530665828782166","0.1530665828782166","0.1530665828782166"
"10","0.15271196406463097","0.15271196406463097","0.15271196406463097"
"11","0.15234951332275723","0.15234951332275723","0.15234951332275723"
"12","0.15199307542743867","0.15199307542743867","0.15199307542743867"
"13","0.15161683676635912","0.15161683676635912","0.15161683676635912"
"14","0.15135433445202892","0.15135433445202892","0.15135433445202892"
"15","0.1510564110852007","0.1510564110852007","0.1510564110852007"
"16","0.15069892585662933","0.15069892585662933","0.15069892585662933"
"17","0.1504832438996126","0.1504832438996126","0.1504832438996126"
"18","0.14984966200808514","0.14984966200808514","0.14984966200808514"
"19","0.1495958269894894","0.1495958269894894","0.1495958269894894"
"20","0.1494411771346269","0.1494411771346269","0.1494411771346269"
"21","0.14933032836957738","0.14933032836957738","0.14933032836957738"
"22","0.14910820341701136","0.14910820341701136","0.14910820341701136"
"23","0.14907192809764166","0.14907192809764166","0.14907192809764166"
"24","0.14867415107979343","0.14867415107979343","0.14867415107979343"
"25","0.14855203541830697","0.14855203541830697","0.14855203541830697"
"26","0.14840309788505066","0.14840309788505066","0.14840309788505066"
"27","0.14832894174253633","0.14832894174253633","0.14832894174253633"
"28","0.14833015149844617","0.14833015149844617","0.14833015149844617"
"29","0.14819280219039527","0.14819280219039527","0.14819280219039527"
"30","0.14797698820395203","0.14797698820395203","0.14797698820395203"
"31","0.14794193956808283","0.14794193956808283","0.14794193956808283"
"32","0.14792886327245625","0.14792886327245625","0.14792886327245625"
"33","0.14795086331793975","0.14795086331793975","0.14795086331793975"
"34","0.14771942400919466","0.14771942400919466","0.14771942400919466"
"35","0.1477121384268434","0.1477121384268434","0.1477121384268434"
