model,epochs_observed,initial_train_loss,final_train_loss,initial_valid_loss,final_valid_loss,best_valid_loss,best_valid_epoch,first_epoch_within_1pct_of_best,valid_improvement_abs,valid_improvement_pct,train_loss_at_common_epoch_24,valid_loss_at_common_epoch_24
Full,25,0.172225901214727,0.1393304745217078,0.1909872373887177,0.1840984311468642,0.1832809315159403,14,14,0.0077063058727774025,4.034984734133152,0.1393304745217078,0.1840984311468642
No-pretrain,36,0.1744671073228377,0.1477121384268434,0.193219825445578,0.1845012250131574,0.1836863987918557,25,18,0.00953342665372231,4.933979539489585,0.1486741510797934,0.1839854353460772
