"Prediction","Groundtruth"
"0.8741418123245239","0"
"1.870380163192749","0"
"2.07741379737854","0"
"1.9110791683197021","0.2999998927116394"
"0.8334429264068604","0.4999999403953552"
"0.6936509609222412","0"
"0.5078516006469727","0"
"0.6706472039222717","0"
"0.536163866519928","0"
"0.2264982908964157","0"
"0.5290858149528503","0"
"0.7201937437057495","0.9999998807907104"
"0.30789607763290405","0"
"0.47776979207992554","0"
"0.8723722100257874","0"
"0.6299483180046082","0"
"0.2512715458869934","0"
"0.40521955490112305","0"
"0.15748706459999084","0"
"0.1734127253293991","0"
"0.15394802391529083","0"
"0.12032720446586609","0"
"0.15571755170822144","0"
"0.18756887316703796","0"
"0.1716432124376297","0"
"0.3450559377670288","0"
"0.37867677211761475","0"
"0.343286395072937","0"
"0.1681041717529297","0"
"0.13448336720466614","0"
"0.13094431161880493","0"
"0.16633465886116028","0"
"0.13802237808704376","0"
"0.06547215580940247","0"
"0.13271382451057434","0"
"0.146869957447052","0"
"0.20526403188705444","0"
"0.43530139327049255","0"
"0.5662457346916199","0"
"0.4760003089904785","0"
"0.18933838605880737","0"
"0.1981859803199768","0"
"0.1698736995458603","0"
"0.1734127402305603","0"
"0.15394805371761322","0"
"0.05131601169705391","0"
"0.11678817868232727","0"
"0.10440155118703842","0"
"0.007078070659190416","0"
"0.01946469396352768","0"
"0.007078070659190416","0"
"0.015925658866763115","0"
"0.015925658866763115","0"
"0","0"
"0.06901118159294128","0"
"0.2495020031929016","0"
"0.16279563307762146","0"
"0.03185131773352623","0"
"0.22826777398586273","0"
"0.3379778563976288","0"
"0.10617106407880783","0"
"0.2211897075176239","0"
"0.10617106407880783","0"
"0.1681041717529297","0"
"0.16279564797878265","0"
"0.023003730922937393","0"
"0.5715541839599609","0"
"1.9889379739761353","0"
"1.3306773900985718","0"
"0.2760447561740875","0"
"1.8402985334396362","0"
"2.756908893585205","0"
"0.4760003089904785","0"
"0.877680778503418","0"
"0.8051306009292603","0"
"0.8352124094963074","0"
"0.7715097665786743","0"
"0.33620837330818176","0"
"2.696744918823242","0"
"3.333771228790283","0"
"2.808224678039551","0"
"0.8334428668022156","0"
"2.4083139896392822","0"
"2.7020535469055176","0"
"0.6936509609222412","0"
"1.6350343227386475","0"
"0.9466920495033264","0"
"1.3147516250610352","0"
"0.8794503211975098","0"
"0.16810418665409088","0"
"1.4297702312469482","0"
"2.35876727104187","0"
"1.8137556314468384","0"
"0.5290858149528503","0"
"1.907540202140808","0"
"2.5056371688842773","0"
"0.6299483776092529","0"
"1.0935620069503784","0"
"0.6547214984893799","0"
"0.8989150524139404","0"
"0.7520450353622437","0"
"0.30789607763290405","0"
"1.1643425226211548","0"
"1.8314508199691772","0.20000006258487701"
"1.456313133239746","0"
"0.6228702068328857","0"
"1.5607147216796875","0"
"2.052640676498413","0.20000006258487701"
"0.6759557723999023","0"
"0.8971455097198486","0"
"0.5237772464752197","0"
"0.7361193299293518","0"
"0.7980524897575378","0"
"0.4246842861175537","0"
"1.2775918245315552","0"
"1.4527740478515625","0.09999999403953552"
"1.3094432353973389","0"
"0.7608926296234131","0"
"1.1997331380844116","0"
"1.3094429969787598","0.800000011920929"
"0.2512715458869934","0"
"0.4264537990093231","0"
"0.4760003089904785","0"
"0.43884044885635376","0"
"0.30435705184936523","0"
"0.2211897224187851","0"
"0.7042680978775024","0"
"0.990929901599884","0"
"0.8051306009292603","0"
"0.2760447561740875","0"
"0.7768182754516602","0"
"0.9520004987716675","0.4999999403953552"
"0.07962829619646072","0"
"0.1220967248082161","0"
"0.1504090130329132","0"
"0.13271383941173553","0"
"0.13271383941173553","0"
"0.08139781653881073","0"
"0.5290858149528503","0"
"0.757353663444519","0"
"0.6122531890869141","0"
"0.18049079179763794","0"
"0.5804018378257751","0"
"0.7325803637504578","0"
"0.0990929901599884","0.09999999403953552"
"0.2441934496164322","0"
"0.13448335230350494","0"
"0.1964164525270462","0"
"0.11324913054704666","0"
"0.01238662376999855","2.3999998569488525"
"0.08139780908823013","0.800000011920929"
"0.10794058442115784","0"
"0.08670637011528015","0"
"0.028312282636761665","0"
"0.08316733688116074","0"
"0.09024539589881897","0.9999998807907104"
"0.9962384700775146","5"
"2.556952953338623","0.3999998867511749"
"1.2333537340164185","1.3000001907348633"
"1.9694733619689941","3"
"1.10417902469635","7"
"0.04069889709353447","3.5999999046325684"
"0.3397473990917206","0"
"0.5662457346916199","0"
"0.40168049931526184","0"
"0.20172502100467682","0.9999998807907104"
"0.4936954081058502","0"
"0.7219632267951965","0"
"2.8772358894348145","6.000000476837158"
"6.1791558265686035","21.000001907348633"
"4.059273719787598","16.099998474121094"
"5.232463836669922","16"
"2.986945867538452","5"
"1.0811753273010254","0.4999999403953552"
"1.0776362419128418","0.9999998807907104"
"0.7255023121833801","0"
"0.7591230869293213","0"
"0.9272273182868958","0.800000011920929"
"0.6529520750045776","0"
"0.7060376405715942","0"
"4.745846748352051","48.00000762939453"
"11.700051307678223","23.29999542236328"
"5.86064338684082","8"
"9.130711555480957","19"
"5.216538429260254","37.999996185302734"
"0.47600024938583374","34.50000762939453"
"1.7624397277832031","25.999996185302734"
"2.1092653274536133","21.000001907348633"
"1.672194242477417","19.999996185302734"
"1.1360304355621338","21.200002670288086"
"1.7907518148422241","23"
"2.2579047679901123","8.79999828338623"
"5.848255634307861","0"
"9.534161567687988","0"
"5.092671871185303","0"
"7.686784744262695","0"
"6.274709701538086","0.20000006258487701"
"2.7020537853240967","0"
"4.381326198577881","0"
"4.149518966674805","9.999998092651367"
"4.099973201751709","3.999999523162842"
"4.101742267608643","2"
"4.011496543884277","6.000000476837158"
"3.8345446586608887","8.999998092651367"
"1.1979634761810303","0"
"2.259674072265625","0"
"1.6828113794326782","0"
"1.973012089729309","0"
"1.2404319047927856","0.2999998927116394"
"0.842290461063385","0"
"0.8617551326751709","0"
"1.4970118999481201","0"
"1.1678816080093384","0"
"0.684803307056427","0"
"1.40322744846344","0"
"1.7978301048278809","0"
"0.7449669241905212","2"
"1.4598520994186401","0"
"1.279361367225647","0.9999998807907104"
"1.3607592582702637","0"
"0.7219632267951965","3.999999523162842"
"0.4901564419269562","3.999999523162842"
"0.23003728687763214","6.399999141693115"
"0.13802237808704376","9.999998092651367"
"0.16102610528469086","13.000000953674316"
"0.2495020180940628","21.000001907348633"
"0.1486394852399826","11"
"0.11501865833997726","8"
"1.9588559865951538","5"
"4.345935821533203","14.39999771118164"
"2.6011910438537598","11"
"3.5708868503570557","15"
"2.0508711338043213","3.999999523162842"
"0.6016360521316528","8"
"0.5697847008705139","6.500000476837158"
"0.32913029193878174","11"
"0.3609815835952759","0.7000000476837158"
"0.5662456154823303","1.1999998092651367"
"0.32913029193878174","5"
"0.25658008456230164","0"
"0.5963274836540222","17"
"1.3112126588821411","7.100000381469727"
"0.6600300669670105","4.500000953674316"
"1.0245507955551147","5.300000190734863"
"0.649412989616394","24.999998092651367"
"0.13802237808704376","11"
"0.30435705184936523","13.499999046325684"
"0.3592120409011841","14.100000381469727"
"0.30612653493881226","6.300000190734863"
"0.24242393672466278","7"
"0.3220522105693817","10.100001335144043"
"0.3680596649646759","8"
"0.5131601095199585","0"
"0.48130881786346436","11.90000057220459"
"0.2707362174987793","3.500000238418579"
"0.40168052911758423","13.699997901916504"
"0.6582605838775635","0"
"0.383985310792923","0"
"1.5748708248138428","0"
"2.7126708030700684","0"
"2.1304993629455566","0"
"0.8900673985481262","0"
"2.376461982727051","0"
"3.169206142425537","0"
"0.7024985551834106","0"
"1.2280452251434326","0"
"0.7732792496681213","0"
"1.035167932510376","0"
"0.8263647556304932","0"
"0.35567301511764526","0"
"1.118335247039795","0"
"1.01039457321167","0"
"0.9732347130775452","0"
"0.5733237862586975","0"
"0.73434978723526","0"
"0.6458739638328552","0"
"0.3202826976776123","0"
"0.585710346698761","0"
"0.4441488981246948","0"
"0.5096210837364197","0"
"0.3946024477481842","0"
"0.18226031959056854","0"
"0.7431973814964294","0"
"0.8865283131599426","0"
"0.7626621723175049","0"
"0.30789604783058167","0"
"0.6724166870117188","0"
"0.6653386354446411","0"
"0.2194201946258545","0"
"0.5485504865646362","0"
"0.35390353202819824","0"
"0.46007463335990906","0"
"0.247732475399971","0"
"0.05308552831411362","0"
"0.20880310237407684","0"
"0.201725035905838","0"
"0.17695176601409912","0"
"0.06724166870117188","0"
"0.12917476892471313","0"
"0.11855769157409668","0"
"0.047776978462934494","0"
"0.1220967248082161","0"
"0.05662456527352333","0.4999999403953552"
"0.09378443658351898","0.20000006258487701"
"0.06724166870117188","0"
"0.001769517664797604","0"
"0.13448335230350494","0"
"0.1751822531223297","0"
"0.14333094656467438","0"
