Prediction,Groundtruth,station,lead_time,year,month,day
7.832814693450928,1.1999998092651367,5.0,7,2020,6,3
22.753204345703125,40.49999237060547,9.0,7,2020,6,3
27.02437210083008,33.19999694824219,11.0,7,2020,6,3
32.55690002441406,35.09999465942383,13.0,7,2020,6,3
15.557690620422363,14.19999885559082,25.0,7,2020,6,3
14.760820388793944,0.0,29.0,7,2020,6,3
5.721888542175293,0.0,30.0,7,2020,6,3
5.012465476989746,8.199999809265137,32.0,7,2020,6,3
6.6209492683410645,0.0,37.0,7,2020,6,3
8.163771629333496,0.0,38.0,7,2020,6,3
5.079281330108643,6.59999942779541,39.0,7,2020,6,3
6.643823146820068,0.0,44.0,7,2020,6,3
8.246784210205078,15.699995994567873,5.0,8,2020,6,3
36.851993560791016,0.0,9.0,8,2020,6,3
25.86949157714844,8.90000057220459,11.0,8,2020,6,3
27.000995635986328,16.0,13.0,8,2020,6,3
38.858192443847656,21.599994659423828,25.0,8,2020,6,3
19.33281135559082,1.1999998092651367,29.0,8,2020,6,3
7.924972534179687,0.0999999865889549,30.0,8,2020,6,3
5.190310001373291,0.0,32.0,8,2020,6,3
4.479557037353516,2.5999996662139893,37.0,8,2020,6,3
5.144286632537842,0.0,38.0,8,2020,6,3
3.196781635284424,3.799999952316284,39.0,8,2020,6,3
10.508631706237791,0.0,44.0,8,2020,6,3
8.780193328857422,0.0,5.0,9,2020,6,3
25.48892593383789,0.0,9.0,9,2020,6,3
21.65825843811035,0.0,11.0,9,2020,6,3
28.24317169189453,0.0,13.0,9,2020,6,3
25.96849632263184,0.0,25.0,9,2020,6,3
9.388143539428713,0.0,29.0,9,2020,6,3
5.043562889099121,0.0,30.0,9,2020,6,3
4.999517440795898,0.0,32.0,9,2020,6,3
7.637709617614746,0.0,37.0,9,2020,6,3
5.647244930267334,0.0,38.0,9,2020,6,3
5.397848129272461,0.0,39.0,9,2020,6,3
6.517890453338623,4.800000190734863,44.0,9,2020,6,3
5.8244476318359375,0.0,5.0,10,2020,6,3
27.37413787841797,0.0,9.0,10,2020,6,3
26.42243003845215,0.0,11.0,10,2020,6,3
24.104145050048828,0.0,13.0,10,2020,6,3
18.31668472290039,0.0,25.0,10,2020,6,3
9.223743438720703,0.0,29.0,10,2020,6,3
5.03580379486084,0.0,30.0,10,2020,6,3
3.454946756362915,0.0,32.0,10,2020,6,3
5.646367073059082,0.0,37.0,10,2020,6,3
4.926629066467285,0.0,38.0,10,2020,6,3
4.079636096954346,0.0,39.0,10,2020,6,3
4.9608564376831055,0.0,44.0,10,2020,6,3
4.594783782958984,39.100006103515625,5.0,11,2020,6,3
20.94325256347656,21.199996948242188,9.0,11,2020,6,3
29.38285446166992,71.89997100830078,11.0,11,2020,6,3
28.170467376708984,17.80000114440918,13.0,11,2020,6,3
12.103561401367188,38.20000457763672,25.0,11,2020,6,3
10.362037658691406,2.299999713897705,29.0,11,2020,6,3
8.097346305847168,9.899999618530272,30.0,11,2020,6,3
