Prediction,Groundtruth,station,lead_time,year,month,day
0.0,1.1999998092651367,5.0,7,2020,6,3
3.910760164260864,40.49999237060547,9.0,7,2020,6,3
3.341632843017578,33.19999694824219,11.0,7,2020,6,3
6.775156497955322,35.09999465942383,13.0,7,2020,6,3
1.889044523239136,14.19999885559082,25.0,7,2020,6,3
1.316084861755371,0.0,29.0,7,2020,6,3
0.1219815835356712,0.0,30.0,7,2020,6,3
0.0,8.199999809265137,32.0,7,2020,6,3
0.0,0.0,37.0,7,2020,6,3
0.1345765739679336,0.0,38.0,7,2020,6,3
0.0,6.59999942779541,39.0,7,2020,6,3
0.4358002543449402,0.0,44.0,7,2020,6,3
0.0,15.699995994567873,5.0,8,2020,6,3
5.55828857421875,0.0,9.0,8,2020,6,3
2.513556480407715,8.90000057220459,11.0,8,2020,6,3
6.00072717666626,16.0,13.0,8,2020,6,3
4.130702018737793,21.599994659423828,25.0,8,2020,6,3
2.5121138095855717,1.1999998092651367,29.0,8,2020,6,3
0.0,0.0999999865889549,30.0,8,2020,6,3
0.0,0.0,32.0,8,2020,6,3
0.0,2.5999996662139893,37.0,8,2020,6,3
0.0,0.0,38.0,8,2020,6,3
0.0,3.799999952316284,39.0,8,2020,6,3
0.7553291916847229,0.0,44.0,8,2020,6,3
0.0,0.0,5.0,9,2020,6,3
4.686800956726074,0.0,9.0,9,2020,6,3
1.265717387199402,0.0,11.0,9,2020,6,3
4.413723945617676,0.0,13.0,9,2020,6,3
2.245066404342652,0.0,25.0,9,2020,6,3
0.3598994016647339,0.0,29.0,9,2020,6,3
0.0,0.0,30.0,9,2020,6,3
0.0,0.0,32.0,9,2020,6,3
0.0,0.0,37.0,9,2020,6,3
0.0,0.0,38.0,9,2020,6,3
0.0,0.0,39.0,9,2020,6,3
0.0856444463133812,4.800000190734863,44.0,9,2020,6,3
0.0,0.0,5.0,10,2020,6,3
4.993705749511719,0.0,9.0,10,2020,6,3
3.150385856628418,0.0,11.0,10,2020,6,3
4.961033821105957,0.0,13.0,10,2020,6,3
1.6861295700073242,0.0,25.0,10,2020,6,3
0.3936325013637543,0.0,29.0,10,2020,6,3
0.0,0.0,30.0,10,2020,6,3
0.0,0.0,32.0,10,2020,6,3
0.0,0.0,37.0,10,2020,6,3
0.0,0.0,38.0,10,2020,6,3
0.0,0.0,39.0,10,2020,6,3
0.0,0.0,44.0,10,2020,6,3
0.0,39.100006103515625,5.0,11,2020,6,3
3.550146102905273,21.199996948242188,9.0,11,2020,6,3
2.054112911224365,71.89997100830078,11.0,11,2020,6,3
3.662529230117798,17.80000114440918,13.0,11,2020,6,3
1.2660404443740845,38.20000457763672,25.0,11,2020,6,3
0.7877018451690674,2.299999713897705,29.0,11,2020,6,3
0.0,9.899999618530272,30.0,11,2020,6,3
0.0,0.0,32.0,11,2020,6,3
0.0,0.0,37.0,11,2020,6,3
0.0,0.0,38.0,11,2020,6,3
0.0,0.0,39.0,11,2020,6,3
0.0,0.0,44.0,11,2020,6,3
0.0,0.0,5.0,12,2020,6,3
5.439425945281982,0.0,9.0,12,2020,6,3
2.473649501800537,1.2999999523162842,11.0,12,2020,6,3
6.6705498695373535,0.0,13.0,12,2020,6,3
1.8423874378204343,0.0,25.0,12,2020,6,3
1.1700568199157717,32.000003814697266,29.0,12,2020,6,3
0.3983315825462341,0.0,30.0,12,2020,6,3
0.0,0.0,32.0,12,2020,6,3
0.0,0.800000011920929,37.0,12,2020,6,3
0.0,4.500000476837158,38.0,12,2020,6,3
0.0,0.4000000953674316,39.0,12,2020,6,3
0.0,0.0,44.0,12,2020,6,3
0.0,7.899998664855957,5.0,13,2020,6,3
2.96821928024292,31.5000057220459,9.0,13,2020,6,3
2.797279119491577,17.399999618530273,11.0,13,2020,6,3
6.01921272277832,58.80000686645508,13.0,13,2020,6,3
1.058184027671814,10.000000953674316,25.0,13,2020,6,3
0.3938140273094177,1.1000001430511477,29.0,13,2020,6,3
0.0,6.299999237060547,30.0,13,2020,6,3
0.0,2.299999713897705,32.0,13,2020,6,3
0.0,6.90000057220459,37.0,13,2020,6,3
0.0,0.0,38.0,13,2020,6,3
0.0,1.3999998569488523,39.0,13,2020,6,3
0.0059995162300765,0.0,44.0,13,2020,6,3
0.0,2.1000001430511475,5.0,14,2020,6,3
6.34425687789917,3.200000286102295,9.0,14,2020,6,3
4.3610382080078125,9.899999618530272,11.0,14,2020,6,3
6.263524055480957,11.599998474121094,13.0,14,2020,6,3
2.8248603343963623,0.9999998807907104,25.0,14,2020,6,3
1.8571022748947144,0.0,29.0,14,2020,6,3
0.0315993912518024,1.600000023841858,30.0,14,2020,6,3
0.0,0.0,32.0,14,2020,6,3
